"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s wurde Ihrem Wunschzettel hinzugefügt. Klicken Sie <a href=""%2$s"">hier</a>, um weiter einzukaufen."
"%1$s has been updated in your wishlist.","%1$s wurde auf Ihrem Wunschzettel aktualisiert."
"%d product(s) have been added to shopping cart: %s.","%d Artikel wurden zum Warenkorb hinzugefügt: %s."
"%s for ""%s"".","%s für ""%s""."
"%s has been moved to wishlist %s","%s befindet sich nun auf dem Wunschzettel %s."
"%s was added to your shopping cart.","%s wurde Ihrem Warenkorb hinzugefügt."
"%s's Wishlist","%ss Wunschzettel"
"* Required Fields","* Notwendige Felder"
"Add All to Cart","Alle in den Warenkorb"
"Add to Cart","In den Warenkorb"
"Add to Compare","Auf die Vergleichsliste"
"Add to Wishlist","Auf den Wunschzettel"
"Added From","Hinzugefügt von"
"An error occurred while adding item to wishlist.","Ein Fehler trat auf beim Hinzufügen des Postens zum Wunschzettel."
"An error occurred while adding item to wishlist: %s","Ein Fehler trat auf beim Hinzufügen des Postens zum Wunschzettel: %s"
"An error occurred while deleting the item from wishlist.","Ein Fehler trat auf beim Entfernen des Postens vom Wunschzettel."
"An error occurred while deleting the item from wishlist: %s","Ein Fehler trat auf beim Entfernen des Postens vom Wunschzettel: %s"
"An error occurred while updating wishlist.","Beim Aktualisieren des Wunschzettels ist ein Fehler aufgetreten."
"Are you sure you want to remove this product from your wishlist?","Sind Sie sicher, dass Sie diesen Artikel von Ihrem Wunschzettel entfernen möchten?"
"Are you sure you would like to remove this item from the wishlist?","Sind Sie sicher, dass Sie diesen Posten von Ihrem Wunschzettel entfernen möchten?"
"Back","Zurück"
"Can\'t delete item from wishlist","Artikel kann nicht aus dem Wunschzettel entfernt werden."
"Can\'t save description %s","Kann Beschreibung nicht sichern %s."
"Can\'t update wishlist","Kann Wunschzettel nicht aktualisieren."
"Cannot add item to shopping cart","Kann Posten nicht zum Warenkorb hinzufügen."
"Cannot add the following product(s) to shopping cart: %s.","Der Warenkorb kann nicht um den/die folgende(n) Artikel erweitert werden: %s."
"Cannot add the item to shopping cart.","Kann Posten nicht zum Warenkorb hinzufügen."
"Cannot add the selected product to shopping cart because the product was removed from the wishlist","Kann gewählten Artikel nicht zum Warenkorb hinzufügen, weil der Artikel von der Wunschliste gestrichen wurde."
"Cannot configure product","Artikel kann nicht konfiguriert werden."
"Cannot load wishlist item","Artikel vom Wunschzettel kann nicht geladen werden."
"Cannot move item to wishlist","Artikel kann nicht auf den Wunschzettel gesetzt werden."
