"-- Please select --","-- Bitte wählen --"
"Allowed Currencies","Erlaubte Währungen"
"Base Currency","Basiswährung"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Die Basis-Währung wird für alle Online-Zahlungen verwendet. Die Gültigkeit bezieht sich auf die Katalogpreis-Gültigkeit (""Katalog"" > ""Preis"" > ""Katalogpreis-Gültigkeit"")."
"Can\'t convert rate from ""%s-%s"".","Währungskurs kann nicht von ""%s"" auf ""%s"" umgerechnet werden."
"Cannot retrieve rate from %s.","Umrechnungskurs von %s konnte nicht von %s abgerufen werden."
"Connection Timeout in Seconds","Verbindungs-Timeout in Sekunden"
"Continue &raquo;","Weiter &raquo;"
"Country","Land"
"Country API","Land API"
"Country and Format Type combination should be unique","Die Kombination aus Land und Formattyp sollte einmalig sein."
"Currency","Währung"
"Currency Options","Währung Grundeinstellungen"
"Currency Setup","Einrichten der Währung"
"Currency Update Warnings","Währungs-Aktualisierungs-Warnungen"
"Default Display Currency","Währungsauswahl (voreingestellt)"
"Directory","Verzeichnis"
"Display not required State","Bundesland anzeigen, auch wenn nicht erforderlich"
"Enabled","Aktiviert"
"Error Email Recipient","Fehler - eMail-Empfänger"
"Error Email Sender","Fehler - eMail-Absender"
"Error Email Template","Fehler - eMail-Vorlage"
"FATAL ERROR:","SCHWERWIEGENER FEHLER:"
"Frequency","Häufigkeit"
"Installed Currencies","Installierte Währungen"
"Invalid Import Service specified.","Ungültiger Importdienst angegeben."
"Invalid country code: %s","Ungültiger Länder-Kode: %s"
"Invalid rates received","Ungültige Kurse erhalten"
"Invalid target currency.","Ungültige Zielwährung."
"List of countries","Länderverzeichnis"
"List of regions in specified country","Regionenverzeichnis in einem gewählten Land"
"Postal Code is Optional for the following countries","Die Angabe einer Postleitzahl ist für die folgenden Länder nicht erforderlich"
"Region","Region"
"Region API","Region API"
"Scheduled Import Settings","Einstellungen für terminierten Import"
"Select Your Currency","Wählen Sie Ihre Währung aus"
"Service","Dienst"
"Start Time","Startzeit"
"State is required for","Bundesland ist Pflichtfeld für"
"State/Province","Bundesland/Provinz"
"States Options","Optionen für Bundesländer"
"Strikeiron Email Update Warnings","Strikeiron - eMail-Aktualisierungswarnungen"
"Unable to initialize the import model.","Import-Model konnte nicht initialisiert werden."
"Undefined rate from ""%s-%s"".","Unbestimmter Kurs von ""%s"" zu ""%s""."
"WARNING:","WARNUNG:"
"Webservicex","Webservicex"
"Your Currency","Ihre Währung"
"Your Currency:","Ihre Währung:"
"Your current currency is: %s","Ihre aktuelle Währung ist: %s"
