"Add Recipient","Empfänger hinzufügen"
"Allow for Guests","Für Gäste erlauben"
"An invalid email address for recipient was entered.","Sie haben eine ungültige eMail-Adresse als Empfänger angegeben."
"At least one recipient must be specified.","Es muss mindestens ein Empfänger eingetragen werden."
"Back","Zurück"
"Catalog Product Email to a Friend","Artikel aus dem Katalog per eMail an einen Freund senden"
"Email Address","eMail-Adresse"
"Email Address:","eMail-Adresse:"
"Email Templates","eMail-Vorlagen"
"Email to a Friend","eMail an einen Freund"
"Email:","eMail:"
"Enabled","Aktiviert"
"Invalid Sender Information","Ungültiger Absender"
"Invalid sender email.","Ungültige Absender eMail-Adresse."
"Limit Sending By","Senden einschränken auf"
"Max Products Sent in 1 Hour","Maximale Anzahl in einer Stunde gesendeter Artikel"
"Max Recipients","Maximale Empfängeranzahl"
"Maximum %d email addresses allowed.","Maximal %d eMail-Adressen erlaubt."
"Message:","Nachricht:"
"Name","Name"
"Name:","Name:"
"No more than %d emails can be sent at a time.","Es können nicht mehr als %d eMails auf einmal versendet werden."
"Please define a correct Cookie instance.","Legen Sie bitte eine korrekte Cookie-Instanz fest."
"Please define a correct Product instance.","Legen Sie bitte eine korrekte Artikel-Instanz fest."
"Please define the correct Sender information.","Bitte legen Sie korrekte Sender-Informationen fest."
"Recipient:","Empfänger:"
"Remove Email","eMail löschen"
"Select Email Template","eMail-Vorlage wählen"
"Send Email","eMail senden"
"Send product to a friend","Diesen Artikel an einen Freund senden"
"Sender:","Absender:"
"Some emails were not sent.","Einige eMail wurden nicht gesendet."
"The link to a friend was sent.","Der Link wurde an den Freund gesendet."
"The message cannot be empty.","Das Nachrichten-Feld kann nicht freigelassen werden."
"The messages cannot be sent more than %d times in an hour","Die Nachrichten können nicht öfter als %d mal pro Stunde gesendet werden"
"The sender name cannot be empty.","Der Absender-Name kann nicht freigelassen werden."
"There were some problems with the data.","Es traten Probleme mit den Daten auf."
"You have exceeded limit of %d sends in an hour","Sie haben das Limit von %d Nachrichten pro Stunde überschritten"
